description,DCTCP/pFabric web-search workload scaled by 1442 B as in SIRD-Simulator W5Distr
mean_header,2515857.4
size_bytes_or_units,cdf
10095442.0,0.902505
10575628.0,0.905003
11055814.0,0.9075
11537442.0,0.910005
12017628.0,0.912503
12497814.0,0.915
12979442.0,0.917505
13459628.0,0.920003
13939814.0,0.922501
14421442.0,0.925006
14901628.0,0.927503
15381814.0,0.930001
15863442.0,0.932506
16343628.0,0.935003
16823814.0,0.937501
17305442.0,0.940006
17785628.0,0.942504
18265814.0,0.945001
18747442.0,0.947506
19227628.0,0.950004
19707814.0,0.952501
20189442.0,0.955006
20669628.0,0.957504
21149814.0,0.960002
21631442.0,0.962507
22111628.0,0.965004
22591814.0,0.967502
23073442.0,0.970007
23553628.0,0.972504
24033814.0,0.975002
24515442.0,0.977507
24995628.0,0.980005
25475814.0,0.982502
25957442.0,0.985007
26437628.0,0.987505
26917814.0,0.990002
27399442.0,0.992507
27879628.0,0.995005
28359814.0,0.997502
28840000.0,1.0
